"Distance","Distanza",module,MageSuite_StoreLocator
"Find a store","Trova un negozio",module,MageSuite_StoreLocator
"Find my location","Trova la mia posizione",module,MageSuite_StoreLocator
"Route","Percorso",module,MageSuite_StoreLocator
"Search for Zip/Place","Cerca per CAP/Località",module,MageSuite_StoreLocator
"Show more stores","Mostra più negozi",module,MageSuite_StoreLocator
"Unfortunately geolocation is not enabled on your device or browser.","Purtroppo la geolocalizzazione non è abilitata sul vostro dispositivo o browser.",module,MageSuite_StoreLocator
"Unfortunately we do not have any stores in your area. Please zoom the map to see bigger area.","Purtroppo non abbiamo negozi nella tua zona. Si prega di ingrandire la mappa per vedere una zona più grande.",module,MageSuite_StoreLocator
"Unfortunately we were not able to find this location.","Purtroppo non siamo riusciti a trovare questa posizione.",module,MageSuite_StoreLocator
