"Distance","Entfernung",module,MageSuite_StoreLocator
"Find a store","Händler finden",module,MageSuite_StoreLocator
"Route","Route",module,MageSuite_StoreLocator
"Search for Zip/Place","Suche nach PLZ/Ort",module,MageSuite_StoreLocator
"Show more stores","Mehr anzeigen",module,MageSuite_StoreLocator
"Unfortunately geolocation is not enabled on your device or browser.","Leider ist die Geolokalisierung auf Ihrem Gerät oder in Ihrem Browser nicht aktiviert.",module,MageSuite_StoreLocator
"Unfortunately we do not have any stores in your area. Please zoom the map to see bigger area.","Leider haben wir keine Geschäfte in Ihrer Nähe. Bitte zoomen Sie die Karte, um einen größeren Bereich zu sehen.",module,MageSuite_StoreLocator
"Unfortunately we were not able to find this location.","Leider konnten wir diesen Standort nicht finden.",module,MageSuite_StoreLocator
